[03:05:41 223.24.164.38]  () :SELECT * FROM M_SETUP_UNIT WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[03:07:38 223.24.164.38]  () :SELECT * FROM M_SETUP_UNIT WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[07:39:29 27.55.66.54]  () :SELECT * FROM M_SETUP_UNIT WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[07:39:32 27.55.66.54]  () :SELECT * FROM M_SETUP_BREAD_RECIPE_MAIN WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[07:55:51 27.55.66.54]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[08:00:46 27.55.66.54]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[08:06:42 27.55.66.54]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[08:07:32 27.55.66.54]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[08:09:20 27.55.66.54]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[08:10:01 27.55.66.54]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[08:14:27 27.55.66.54]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[10:42:27 27.55.66.54]  () :SELECT * FROM M_SETUP_BREAD_RECIPE_MAIN WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[10:42:39 27.55.66.54]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[10:44:24 27.55.66.54]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[10:45:40 27.55.66.54]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[11:02:14 27.55.66.54]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[11:07:06 27.55.66.54]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[11:07:40 27.55.66.54]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[21:03:09 27.55.89.72]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[21:20:50 27.55.89.72]  () :SELECT * FROM M_SETUP_BREAD_RECIPE_MAIN WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[21:20:52 27.55.89.72]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[21:33:28 27.55.89.72]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[21:34:55 27.55.89.72]  () :insert into M_SETUP_BREAD_RECIPE_MAIN (PRODUCT_TYPE_ID, BREAD_COUNT, ACTIVE_STATUS, DELETE_FLAG, BREAD_RECIPE_ID) values ('1', '5', '1', '0', '1')
[21:34:55 27.55.89.72]  () :insert into M_SETUP_BREAD_RECIPE_DETAIL (BREAD_RECIPE_ID, INVENTORY_ID, INVENTORY_QUANTITY, INVENTORY_UNIT) values ('1', '7', '10', 'Kg')
[21:34:55 27.55.89.72]  () :insert into M_SETUP_BREAD_RECIPE_DETAIL (BREAD_RECIPE_ID, INVENTORY_ID, INVENTORY_QUANTITY, INVENTORY_UNIT) values ('1', '8', '20', 'Kg')
[21:34:55 27.55.89.72]  () :SELECT * FROM M_SETUP_BREAD_RECIPE_MAIN WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[21:35:14 27.55.89.72]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[21:37:24 27.55.89.72]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[22:04:03 27.55.89.72]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[22:04:43 27.55.89.72]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[22:05:11 27.55.89.72]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[22:45:21 27.55.89.72]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[22:45:45 27.55.89.72]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[22:46:07 27.55.89.72]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[22:46:20 27.55.89.72]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[22:47:11 27.55.89.72]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
[23:36:42 27.55.89.72]  () :SELECT PRODUCT_TYPE_ID, PRODUCT_TYPE_NAME FROM M_SETUP_PRODUCT_TYPE WHERE ACTIVE_STATUS = 1 AND DELETE_FLAG = 0
